"","SRX033482","SRX033489","SRX033479","SRX033490","SRX033480","SRX033472","SRX033485","SRX033493","SRX033475","SRX033486"
"ENSMUSG00000045752",20,45,49,44,13,47,48,53,32,30
"ENSMUSG00000045757",8,8,4,12,1,3,12,14,3,7
"ENSMUSG00000045763",1760,2890,3857,3843,2380,2399,2225,4074,2097,2574
"ENSMUSG00000045767",301,773,412,680,335,377,355,766,432,457
"ENSMUSG00000045776",1,3,0,2,6,2,2,1,0,4
"ENSMUSG00000045790",90,157,76,177,102,92,82,172,90,120
"ENSMUSG00000045795",42,110,71,107,48,76,43,113,61,68
"ENSMUSG00000045813",25,55,32,60,24,45,48,99,41,78
"ENSMUSG00000045817",144,252,236,330,136,160,279,280,133,186
"ENSMUSG00000045822",78,218,136,251,104,140,140,298,111,141
"ENSMUSG00000045826",5,9,5,12,1,9,8,7,8,6
"ENSMUSG00000045827",48,115,44,125,50,62,58,136,43,73
"ENSMUSG00000045838",20,24,20,25,12,19,28,35,22,18
"ENSMUSG00000045854",2,13,2,10,2,6,3,14,2,3
"ENSMUSG00000045867",7,21,11,36,10,13,9,16,9,11
"ENSMUSG00000045871",42,72,15,83,37,39,53,132,53,104
"ENSMUSG00000045873",1,4,2,1,2,6,4,2,3,3
"ENSMUSG00000045875",20,24,43,42,17,39,34,40,33,20
"ENSMUSG00000045876",16,29,10,19,4,24,13,36,32,21
"ENSMUSG00000045877",2,10,8,3,2,5,1,6,1,0
"ENSMUSG00000045886",11,33,25,38,13,22,21,39,18,27
"ENSMUSG00000045903",250,419,366,511,243,299,433,1086,279,498
"ENSMUSG00000045912",121,170,294,212,94,186,157,292,186,155
"ENSMUSG00000045915",4,5,4,5,4,3,1,3,0,0
"ENSMUSG00000045930",7,22,19,29,9,18,17,21,5,16
"ENSMUSG00000045932",6,21,21,14,4,10,11,10,13,7
"ENSMUSG00000045946",8,5,11,4,6,19,9,7,17,12
"ENSMUSG00000045948",168,367,290,435,191,249,249,456,244,201
"ENSMUSG00000045954",78,179,102,219,103,59,65,129,77,74
"ENSMUSG00000045967",839,2002,1374,1837,907,1167,1144,1634,1053,1139
"ENSMUSG00000045968",10,21,16,31,9,0,0,4,0,2
"ENSMUSG00000045969",134,341,248,357,173,251,145,419,172,158
"ENSMUSG00000045975",124,286,148,285,135,152,160,363,156,181
"ENSMUSG00000045980",5,15,17,8,4,10,12,9,9,10
"ENSMUSG00000045991",300,501,185,565,205,142,211,434,223,332
"ENSMUSG00000045994",175,529,751,570,168,678,402,768,488,321
"ENSMUSG00000045996",4,12,4,15,6,4,4,13,5,7
"ENSMUSG00000046008",5,12,2,13,4,7,0,18,3,6
"ENSMUSG00000046010",95,182,95,203,67,84,64,209,57,76
"ENSMUSG00000046027",5,6,8,16,0,5,7,11,1,2
"ENSMUSG00000046032",33,90,54,92,25,57,42,116,35,40
"ENSMUSG00000046034",130,258,166,281,109,197,115,300,148,113
"ENSMUSG00000046056",44,117,67,138,23,40,12,24,21,9
"ENSMUSG00000046058",223,455,348,527,167,308,215,554,299,315
"ENSMUSG00000046062",412,1081,591,1072,551,481,535,1205,528,689
"ENSMUSG00000046096",24,73,80,73,39,48,39,77,40,62
"ENSMUSG00000046101",6,32,10,20,7,1,0,2,2,1
"ENSMUSG00000046109",15,22,5,21,1,16,18,25,16,19
"ENSMUSG00000046138",263,629,238,692,226,290,347,767,287,498
"ENSMUSG00000046139",259,595,335,705,254,348,326,788,323,367
"ENSMUSG00000046152",9,18,11,9,15,4,4,1,1,8
"ENSMUSG00000046157",48,115,68,120,74,65,79,155,67,76
"ENSMUSG00000046159",358,870,617,819,500,508,436,1120,453,484
"ENSMUSG00000046160",936,1855,1400,1916,777,1161,1427,1638,985,1186
"ENSMUSG00000046167",14,12,16,26,8,17,17,34,13,15
"ENSMUSG00000046168",9,30,10,25,8,12,5,37,13,14
"ENSMUSG00000046169",44,105,43,120,44,67,59,108,41,72
"ENSMUSG00000046182",338,682,801,669,338,688,547,713,554,438
"ENSMUSG00000046185",86,207,131,235,98,129,86,207,90,105
"ENSMUSG00000046186",2,10,9,20,10,3,17,25,14,4
"ENSMUSG00000046192",13,69,16,72,33,29,14,58,16,13
"ENSMUSG00000046201",23,34,99,37,11,84,23,35,19,30
"ENSMUSG00000046204",173,400,270,454,204,316,201,439,220,210
"ENSMUSG00000046215",266,543,615,501,286,548,414,611,412,352
"ENSMUSG00000046223",6,8,21,15,2,22,4,15,6,8
"ENSMUSG00000046229",173,176,229,205,114,237,414,259,202,270
"ENSMUSG00000046230",401,826,380,777,416,263,285,938,332,554
"ENSMUSG00000046240",646,1666,1014,1973,654,865,926,1737,737,854
"ENSMUSG00000046268",68,175,89,155,54,95,79,191,89,77
"ENSMUSG00000046269",168,364,236,372,160,207,177,346,186,197
"ENSMUSG00000046275",1,10,2,6,4,5,7,13,5,1
"ENSMUSG00000046280",51,86,56,106,50,50,52,113,71,75
"ENSMUSG00000046287",99,237,138,294,104,164,109,220,141,139
"ENSMUSG00000046312",22,33,20,45,8,15,30,45,8,17
"ENSMUSG00000046321",44,82,180,66,65,92,123,142,140,82
"ENSMUSG00000046329",3498,8255,5499,10352,3246,5400,5602,9930,4448,4730
"ENSMUSG00000046330",4,11,5,8,2,5,7,17,7,6
"ENSMUSG00000046338",7,18,4,9,7,20,27,56,23,20
"ENSMUSG00000046351",40,85,35,124,67,29,53,85,59,65
"ENSMUSG00000046352",13,65,39,80,41,25,92,67,27,43
"ENSMUSG00000046361",6,21,18,22,14,10,7,14,7,7
"ENSMUSG00000046378",94,170,150,182,68,141,122,198,125,120
"ENSMUSG00000046380",88,206,160,156,76,166,118,202,115,121
"ENSMUSG00000046387",161,350,174,372,163,137,157,332,189,187
"ENSMUSG00000046402",82,178,85,222,77,66,60,96,32,35
"ENSMUSG00000046404",157,321,188,266,135,210,189,299,201,248
"ENSMUSG00000046410",26,83,45,80,41,39,22,60,35,33
"ENSMUSG00000046417",14,49,60,52,17,44,34,51,26,28
"ENSMUSG00000046432",1162,2176,1105,2224,1155,1817,656,2424,1060,914
"ENSMUSG00000046434",15,30,12,35,16,4,15,55,29,13
"ENSMUSG00000046441",69,136,64,172,65,57,63,175,59,87
"ENSMUSG00000046442",55,203,288,186,115,160,102,226,149,152
"ENSMUSG00000046447",13433,25228,15216,27233,14173,9221,13245,30241,11655,16806
"ENSMUSG00000046449",179,416,268,358,286,231,275,423,250,321
"ENSMUSG00000046463",16,32,22,33,11,18,11,28,20,22
"ENSMUSG00000046470",42,81,114,71,12,93,67,111,77,72
"ENSMUSG00000046480",10337,23887,11548,20889,8714,10083,6648,13532,9270,7529
"ENSMUSG00000046500",1,1,0,4,0,6,0,2,2,1
"ENSMUSG00000046519",133,389,181,401,148,133,175,394,177,247
"ENSMUSG00000046523",122,295,103,287,147,76,153,302,160,194
"ENSMUSG00000046532",387,825,443,879,474,377,443,810,399,520
"ENSMUSG00000046541",42,73,79,108,42,80,56,85,75,38
"ENSMUSG00000046546",89,246,351,235,132,212,182,246,188,144
"ENSMUSG00000046550",6,21,10,17,9,11,8,30,5,7
"ENSMUSG00000046556",253,477,416,503,233,394,499,537,355,334
"ENSMUSG00000046561",1,19,14,18,3,8,0,10,11,3
"ENSMUSG00000046567",99,208,87,270,144,76,82,233,93,123
"ENSMUSG00000046572",188,433,248,424,219,228,230,503,279,266
"ENSMUSG00000046573",165,359,103,472,169,126,137,377,144,167
"ENSMUSG00000046574",664,1363,1584,1622,788,1510,1389,1662,1131,916
"ENSMUSG00000046591",0,4,5,4,2,0,5,7,3,2
"ENSMUSG00000046593",51,117,77,98,75,66,100,191,65,82
"ENSMUSG00000046603",8,20,6,21,8,6,12,20,4,10
"ENSMUSG00000046605",11,21,24,21,12,26,11,34,18,8
"ENSMUSG00000046607",594,1228,646,1276,577,604,545,1131,731,639
"ENSMUSG00000046610",0,5,2,7,1,4,2,4,4,1
"ENSMUSG00000046618",20,69,41,70,38,25,28,33,15,17
"ENSMUSG00000046637",3,10,12,11,3,9,14,10,13,5
"ENSMUSG00000046658",52,85,134,86,32,139,110,104,76,49
"ENSMUSG00000046668",486,930,1043,1053,538,887,655,1376,774,777
"ENSMUSG00000046671",120,235,130,218,88,153,122,279,106,106
"ENSMUSG00000046675",87,165,78,146,102,83,82,169,103,102
"ENSMUSG00000046687",102,241,126,304,111,162,109,319,77,112
"ENSMUSG00000046688",40,81,41,86,43,39,19,100,46,48
"ENSMUSG00000046691",371,824,471,931,403,419,518,893,427,538
"ENSMUSG00000046694",4,4,5,4,1,10,4,9,9,1
"ENSMUSG00000046699",24,40,28,55,36,21,28,68,41,49
"ENSMUSG00000046707",272,543,343,559,306,344,220,620,265,301
"ENSMUSG00000046714",2,4,6,11,4,4,26,7,3,14
"ENSMUSG00000046717",0,5,0,3,4,3,3,3,0,0
"ENSMUSG00000046718",19,24,13,28,9,11,9,19,12,6
"ENSMUSG00000046719",131,321,523,338,188,435,292,592,352,258
"ENSMUSG00000046721",193,597,205,704,187,157,235,616,152,356
"ENSMUSG00000046727",1,10,7,8,1,6,3,16,3,1
"ENSMUSG00000046731",17,39,20,29,17,28,17,22,25,24
"ENSMUSG00000046733",1,5,3,6,1,5,5,5,1,3
"ENSMUSG00000046743",18,29,33,27,21,26,53,34,17,28
"ENSMUSG00000046750",3,3,1,5,0,6,0,5,5,2
"ENSMUSG00000046753",159,321,146,307,143,120,94,318,119,194
"ENSMUSG00000046756",131,257,139,294,141,165,127,283,117,147
"ENSMUSG00000046761",16,45,35,36,11,35,37,38,33,24
"ENSMUSG00000046768",1,5,10,5,3,3,6,4,4,3
"ENSMUSG00000046785",660,1544,870,1482,811,660,731,1480,858,954
"ENSMUSG00000046791",116,254,236,298,136,217,181,304,172,176
"ENSMUSG00000046792",23,59,80,72,26,81,78,83,73,55
"ENSMUSG00000046793",152,298,204,357,151,214,193,362,174,205
"ENSMUSG00000046794",13,27,9,19,5,14,26,22,12,11
"ENSMUSG00000046805",180,450,219,452,170,196,116,268,126,146
"ENSMUSG00000046806",3,8,6,16,5,6,3,19,7,3
"ENSMUSG00000046807",139,339,243,401,139,230,181,423,195,200
"ENSMUSG00000046818",256,612,193,544,214,98,213,417,114,219
"ENSMUSG00000046822",24,42,67,52,19,47,28,58,29,26
"ENSMUSG00000046834",13,34,13,31,7,24,14,35,16,13
"ENSMUSG00000046836",40,115,53,138,54,48,44,125,28,69
"ENSMUSG00000046841",162,269,267,292,166,218,142,343,180,168
"ENSMUSG00000046856",5,17,13,17,1,4,7,21,8,8
"ENSMUSG00000046862",4,8,4,8,3,8,4,10,8,3
"ENSMUSG00000046865",1,8,9,11,1,10,2,6,6,3
"ENSMUSG00000046876",729,1342,1253,1418,722,982,845,1336,932,989
"ENSMUSG00000046879",7,18,12,16,3,8,11,17,3,10
"ENSMUSG00000046897",14,34,15,41,9,14,20,42,23,17
"ENSMUSG00000046909",5,16,9,22,13,3,4,11,7,5
"ENSMUSG00000046922",432,1142,547,1106,296,627,472,865,460,491
"ENSMUSG00000046934",207,523,290,427,230,292,189,523,217,199
"ENSMUSG00000046949",11,45,15,71,23,20,20,50,22,18
"ENSMUSG00000046959",9,27,22,27,9,25,13,27,15,11
"ENSMUSG00000046961",14,33,26,36,13,19,13,18,13,10
"ENSMUSG00000046962",253,535,337,673,257,321,315,648,306,325
"ENSMUSG00000046982",60,129,66,106,26,105,85,111,61,62
"ENSMUSG00000046985",474,1030,534,1106,480,497,512,1258,510,695
"ENSMUSG00000046991",8,12,7,18,5,11,12,31,16,10
"ENSMUSG00000046994",64,194,140,194,101,112,139,157,115,110
"ENSMUSG00000046999",96,228,206,235,142,140,175,349,166,179
"ENSMUSG00000047013",1457,3287,2692,3417,1523,2744,2665,4140,2333,2351
"ENSMUSG00000047021",11,26,51,46,15,53,42,83,37,26
"ENSMUSG00000047025",5,3,5,4,2,9,0,1,3,7
"ENSMUSG00000047030",0,2,3,5,4,2,0,7,3,3
"ENSMUSG00000047033",34,92,48,74,29,54,48,80,46,42
"ENSMUSG00000047036",1450,2751,1538,2872,1370,1339,1387,3165,1831,2219
"ENSMUSG00000047037",572,1316,908,1206,683,785,580,1216,762,796
"ENSMUSG00000047044",31,81,44,85,46,23,30,62,30,38
"ENSMUSG00000047061",6,15,11,33,11,5,12,23,10,9
"ENSMUSG00000047067",143,275,206,350,135,230,202,321,190,169
"ENSMUSG00000047084",73,171,82,183,46,71,79,170,69,105
"ENSMUSG00000047085",337,869,882,828,377,986,921,998,802,548
"ENSMUSG00000047090",33,48,26,78,26,48,43,66,50,30
"ENSMUSG00000047117",54,143,68,178,81,62,47,167,67,91
"ENSMUSG00000047123",61,119,101,135,49,87,55,120,48,71
"ENSMUSG00000047139",1,6,11,13,3,0,7,17,1,5
"ENSMUSG00000047141",128,309,117,296,144,102,102,291,179,197
"ENSMUSG00000047143",9,23,26,12,13,25,19,30,20,21
"ENSMUSG00000047146",9,21,23,23,4,24,10,22,10,14
"ENSMUSG00000047153",186,280,251,278,123,300,223,356,236,208
"ENSMUSG00000047155",61,207,99,195,116,127,89,205,124,107
"ENSMUSG00000047161",2,5,1,5,7,2,2,3,0,4
"ENSMUSG00000047180",9,14,12,13,13,2,3,12,0,1
"ENSMUSG00000047181",42,59,75,62,52,97,111,85,75,65
"ENSMUSG00000047187",1052,2119,968,2449,1256,1016,1054,2845,1228,1404
"ENSMUSG00000047197",3,6,7,6,1,13,5,4,1,0
"ENSMUSG00000047205",182,439,299,470,235,275,254,522,234,287
"ENSMUSG00000047213",475,1069,588,1112,494,570,447,1271,557,664
"ENSMUSG00000047216",72,190,78,206,88,44,70,243,96,126
"ENSMUSG00000047220",8,9,7,14,4,5,3,24,17,14
"ENSMUSG00000047227",27,59,31,58,47,10,32,66,37,33
"ENSMUSG00000047228",16,50,16,57,22,29,45,180,27,69
"ENSMUSG00000047230",0,2,0,6,0,0,0,4,2,0
"ENSMUSG00000047238",220,417,205,430,254,177,221,402,190,219
"ENSMUSG00000047242",31,99,36,86,16,32,23,96,25,31
"ENSMUSG00000047257",2,6,5,4,6,3,4,7,4,0
"ENSMUSG00000047259",7,40,18,24,13,33,21,42,19,29
"ENSMUSG00000047260",111,179,175,202,91,178,148,237,152,202
"ENSMUSG00000047261",866,2041,834,2349,897,555,752,2172,765,1003
"ENSMUSG00000047264",217,467,307,629,197,294,486,595,271,327
"ENSMUSG00000047281",6,15,3,15,10,4,9,9,1,2
"ENSMUSG00000047293",2,5,0,10,0,4,4,7,0,2
"ENSMUSG00000047307",61,141,70,126,98,106,86,192,93,81
"ENSMUSG00000047344",6,9,14,8,4,13,26,8,11,5
"ENSMUSG00000047361",51,104,48,123,44,38,42,85,43,43
"ENSMUSG00000047368",274,608,262,595,329,201,260,603,267,357
"ENSMUSG00000047370",5,27,24,31,8,18,12,20,6,5
"ENSMUSG00000047371",67,114,99,145,41,86,87,156,64,66
"ENSMUSG00000047379",834,1938,1346,2031,797,1470,1128,2328,1197,1263
"ENSMUSG00000047388",1024,2417,1574,2588,1147,1655,1647,2985,1410,1673
"ENSMUSG00000047394",2,7,5,6,3,14,9,12,2,6
"ENSMUSG00000047409",59,151,132,181,77,119,96,161,105,85
"ENSMUSG00000047414",247,654,377,736,382,463,506,1049,389,685
"ENSMUSG00000047417",98,166,209,177,102,173,171,174,149,118
"ENSMUSG00000047419",100,250,149,241,124,59,54,113,52,80
"ENSMUSG00000047420",5,30,4,24,18,2,18,11,2,21
"ENSMUSG00000047423",132,291,235,323,113,207,224,345,166,169
"ENSMUSG00000047428",106,258,298,285,117,310,254,374,218,199
"ENSMUSG00000047434",20,60,35,49,20,41,25,63,18,38
"ENSMUSG00000047439",356,830,588,960,482,598,435,923,495,561
"ENSMUSG00000047443",1,1,5,1,0,1,0,5,0,1
"ENSMUSG00000047454",794,1900,800,1893,733,866,829,2189,843,1000
"ENSMUSG00000047459",474,1539,756,1925,489,780,634,2013,488,614
"ENSMUSG00000047466",121,291,180,303,142,193,147,322,150,196
"ENSMUSG00000047473",17,42,59,64,36,43,39,59,34,35
"ENSMUSG00000047485",604,1379,1301,1414,625,1272,985,1508,948,853
"ENSMUSG00000047490",13,60,38,64,23,39,49,25,24,44
"ENSMUSG00000047496",139,259,193,230,129,165,167,251,185,215
"ENSMUSG00000047507",188,509,385,715,112,705,672,540,221,212
"ENSMUSG00000047514",1817,3752,2120,3837,2003,1834,1935,4116,2011,2418
"ENSMUSG00000047515",8,14,2,12,0,2,3,3,3,4
"ENSMUSG00000047539",469,1117,600,1108,569,632,590,1415,651,779
"ENSMUSG00000047547",169,407,344,429,188,261,150,497,273,170
"ENSMUSG00000047557",49,118,31,128,36,37,44,116,46,53
"ENSMUSG00000047565",35,99,30,110,48,41,48,108,28,61
"ENSMUSG00000047583",4,2,0,3,1,6,0,1,0,0
"ENSMUSG00000047591",9,26,22,25,17,27,16,17,12,5
"ENSMUSG00000047603",131,316,181,322,116,143,141,355,132,162
"ENSMUSG00000047604",11,9,13,2,3,12,5,11,9,8
"ENSMUSG00000047606",45,147,79,148,104,81,100,189,80,127
"ENSMUSG00000047632",48,59,39,60,56,42,45,51,28,49
"ENSMUSG00000047635",17,33,27,46,14,14,32,32,12,24
"ENSMUSG00000047643",63,131,59,122,50,42,48,122,46,66
"ENSMUSG00000047648",66,171,67,163,74,82,66,173,90,109
"ENSMUSG00000047649",101,176,121,207,95,125,105,196,120,95
"ENSMUSG00000047654",8,16,17,24,6,19,7,23,14,13
"ENSMUSG00000047656",41,96,39,90,29,66,43,126,54,66
"ENSMUSG00000047658",243,754,731,786,300,634,701,947,494,562
"ENSMUSG00000047669",116,217,157,240,94,103,133,227,125,131
"ENSMUSG00000047674",13,26,21,38,5,25,7,40,17,18
"ENSMUSG00000047694",24,49,19,47,22,22,15,47,32,22
"ENSMUSG00000047710",225,567,319,561,231,319,389,613,266,328
"ENSMUSG00000047712",268,708,350,785,298,383,348,749,333,420
"ENSMUSG00000047714",10,18,6,13,12,17,4,8,9,6
"ENSMUSG00000047719",20,23,33,20,17,27,25,34,21,13
"ENSMUSG00000047721",79,181,162,216,93,120,133,167,75,94
"ENSMUSG00000047731",17,46,52,35,10,47,27,44,25,12
"ENSMUSG00000047735",1,7,3,6,3,1,4,4,3,2
"ENSMUSG00000047747",31,85,125,48,39,113,78,79,61,52
"ENSMUSG00000047749",71,172,109,192,72,107,110,194,102,144
"ENSMUSG00000047757",39,112,45,134,58,37,30,97,49,65
"ENSMUSG00000047759",4,23,18,29,3,13,22,33,3,14
"ENSMUSG00000047773",15,46,21,58,27,20,38,31,24,30
"ENSMUSG00000047777",168,332,230,362,154,270,178,390,227,205
"ENSMUSG00000047786",164,271,101,325,186,61,110,335,106,221
"ENSMUSG00000047787",266,518,658,563,276,567,468,566,454,416
"ENSMUSG00000047789",115,274,155,234,152,127,129,209,138,180
"ENSMUSG00000047793",97,223,222,263,128,210,241,258,153,192
"ENSMUSG00000047797",114,208,132,211,100,132,77,166,108,93
"ENSMUSG00000047810",23,44,47,65,21,50,29,55,36,28
"ENSMUSG00000047822",4,3,6,1,1,4,8,1,3,5
"ENSMUSG00000047824",3,9,2,3,2,4,0,1,5,1
"ENSMUSG00000047828",4,11,6,23,1,2,1,1,1,0
"ENSMUSG00000047832",36,124,93,132,44,70,72,151,75,55
"ENSMUSG00000047840",2,2,4,1,0,4,3,2,4,1
"ENSMUSG00000047842",2702,6058,4605,6645,2644,3665,3239,7773,3266,3583
"ENSMUSG00000047843",19,45,51,36,14,20,26,38,15,27
"ENSMUSG00000047854",6,2,2,4,3,2,6,4,3,10
"ENSMUSG00000047867",0,6,4,5,2,1,0,3,3,0
"ENSMUSG00000047875",26,57,34,52,13,27,30,53,43,34
"ENSMUSG00000047878",13,32,22,28,2,12,29,20,10,10
"ENSMUSG00000047880",0,4,2,7,4,0,9,4,0,3
"ENSMUSG00000047888",273,509,624,510,404,622,446,598,510,518
"ENSMUSG00000047897",2,11,9,15,5,3,3,17,12,6
"ENSMUSG00000047904",127,227,356,260,146,296,167,408,247,195
"ENSMUSG00000047907",28,75,36,82,31,38,40,65,22,45
"ENSMUSG00000047910",104,250,140,245,105,106,103,221,161,190
"ENSMUSG00000047911",2,5,1,10,0,5,4,10,8,5
"ENSMUSG00000047921",97,266,180,277,123,149,190,295,136,142
"ENSMUSG00000047923",65,110,118,117,54,132,87,162,112,115
"ENSMUSG00000047935",76,194,96,227,94,171,183,224,118,160
"ENSMUSG00000047945",37,95,85,107,36,128,83,108,61,64
"ENSMUSG00000047953",3,6,10,13,8,3,6,10,11,4
"ENSMUSG00000047959",78,132,202,185,130,161,131,175,158,140
"ENSMUSG00000047963",3,16,18,33,23,9,7,16,11,7
"ENSMUSG00000047976",3465,7524,4478,7585,3837,4039,3749,8450,4088,5069
"ENSMUSG00000047988",23,33,42,61,25,42,16,62,42,28
"ENSMUSG00000047989",19,40,32,42,19,21,31,33,20,26
"ENSMUSG00000048000",741,1495,886,1577,852,895,812,1832,825,931
"ENSMUSG00000048001",22,36,27,50,19,35,48,34,28,20
"ENSMUSG00000048004",29,79,72,68,41,51,49,96,44,43
"ENSMUSG00000048015",2,3,3,12,1,4,8,9,1,4
"ENSMUSG00000048022",732,1467,703,1473,709,521,833,1489,741,989
"ENSMUSG00000048027",643,1465,986,1635,725,918,917,1670,788,988
"ENSMUSG00000048029",26,50,44,66,36,31,40,66,17,26
"ENSMUSG00000048038",18,39,23,37,16,42,51,24,24,40
"ENSMUSG00000048039",36,100,70,124,33,63,36,141,51,46
"ENSMUSG00000048040",200,349,113,363,180,95,118,380,208,234
"ENSMUSG00000048047",168,381,186,345,159,169,172,334,212,250
"ENSMUSG00000048065",1,6,5,1,1,6,1,3,2,4
"ENSMUSG00000048076",112,275,172,317,97,175,89,299,108,94
"ENSMUSG00000048096",28,51,19,35,18,16,19,15,7,17
"ENSMUSG00000048106",121,248,155,310,141,131,145,313,137,183
"ENSMUSG00000048109",100,284,251,300,141,235,165,312,159,181
"ENSMUSG00000048138",10,4,10,17,0,15,9,22,6,14
"ENSMUSG00000048142",2757,6488,7029,6294,3142,7495,4828,8318,5373,4241
"ENSMUSG00000048148",35,78,74,76,51,68,53,81,58,57
"ENSMUSG00000048154",2213,4228,5265,4535,1841,5112,4777,4916,4172,3649
"ENSMUSG00000048163",140,245,167,306,89,136,135,217,88,98
"ENSMUSG00000048174",47,106,37,109,23,41,33,71,35,36
"ENSMUSG00000048175",137,296,241,312,119,222,209,397,169,187
"ENSMUSG00000048186",12,4,7,13,2,8,6,11,2,6
"ENSMUSG00000048191",34,80,59,63,25,58,10,56,40,27
"ENSMUSG00000048200",15,35,37,32,8,28,19,33,25,14
"ENSMUSG00000048218",112,280,115,325,128,128,129,251,81,140
"ENSMUSG00000048222",38,89,46,85,42,36,35,66,38,59
"ENSMUSG00000048232",36,84,55,80,30,72,48,89,52,42
"ENSMUSG00000048234",17,49,24,52,26,37,25,76,38,23
"ENSMUSG00000048240",426,758,448,693,335,409,392,548,407,321
"ENSMUSG00000048251",918,1692,1811,1544,748,1794,1289,1545,1334,1000
"ENSMUSG00000048264",1211,2767,1329,2859,1236,1462,1448,3209,1327,1742
"ENSMUSG00000048277",11,13,15,9,3,11,9,19,17,14
"ENSMUSG00000048279",52,78,71,68,72,75,85,90,77,72
"ENSMUSG00000048281",28,86,37,88,36,33,41,74,41,41
"ENSMUSG00000048285",45,86,60,105,66,54,69,118,78,72
"ENSMUSG00000048304",649,1460,822,1490,640,852,815,1707,794,1033
"ENSMUSG00000048307",1715,3986,2056,3941,1700,2096,1848,4089,2077,2162
"ENSMUSG00000048310",109,213,135,207,43,170,161,217,106,114
"ENSMUSG00000048327",5,13,14,23,4,8,4,18,1,8
"ENSMUSG00000048332",115,204,165,245,116,124,105,320,152,149
"ENSMUSG00000048347",74,192,73,191,82,58,75,147,105,118
"ENSMUSG00000048351",23,42,27,49,18,25,12,62,24,20
"ENSMUSG00000048355",110,219,55,207,87,50,71,179,96,135
"ENSMUSG00000048362",35,98,81,99,28,77,74,91,38,46
"ENSMUSG00000048368",0,12,0,8,5,1,12,12,3,8
"ENSMUSG00000048371",47,82,60,83,40,69,52,105,45,43
"ENSMUSG00000048373",3,14,8,27,9,6,10,18,5,18
"ENSMUSG00000048376",40,88,70,102,38,106,99,185,69,97
"ENSMUSG00000048379",75,138,72,121,79,72,62,124,72,94
"ENSMUSG00000048385",1096,2287,2245,2389,1193,2339,2283,3259,1813,1749
"ENSMUSG00000048387",6,14,15,20,13,7,23,11,6,16
"ENSMUSG00000048388",106,223,111,222,134,92,122,222,151,208
"ENSMUSG00000048400",1,3,2,3,0,3,1,7,7,4
"ENSMUSG00000048424",23,51,31,46,26,9,39,47,20,36
"ENSMUSG00000048429",247,682,352,694,210,384,300,686,259,325
"ENSMUSG00000048440",11,23,13,15,13,7,21,14,6,11
"ENSMUSG00000048450",5,37,19,27,10,17,33,35,9,13
"ENSMUSG00000048458",730,1435,1406,1350,849,1128,517,1347,972,644
"ENSMUSG00000048478",13,11,17,22,3,13,13,17,6,14
"ENSMUSG00000048481",8,33,35,19,13,35,33,26,28,20
"ENSMUSG00000048482",193,324,204,347,219,144,140,526,189,259
"ENSMUSG00000048483",27,62,70,63,23,64,57,72,60,64
"ENSMUSG00000048485",3,6,6,5,2,9,4,3,10,3
"ENSMUSG00000048486",236,641,370,627,286,372,349,705,327,369
"ENSMUSG00000048489",8,17,11,25,4,9,12,16,3,19
"ENSMUSG00000048503",246,478,288,539,216,299,249,549,279,341
"ENSMUSG00000048534",9,1,11,5,5,2,0,5,2,0
"ENSMUSG00000048540",0,3,1,7,1,2,4,1,1,2
"ENSMUSG00000048544",6,10,4,23,9,0,6,5,1,9
"ENSMUSG00000048546",251,453,354,625,260,227,270,456,240,240
"ENSMUSG00000048550",2,26,12,16,6,5,8,17,5,10
"ENSMUSG00000048562",2,2,14,8,1,3,6,7,2,3
"ENSMUSG00000048572",10,42,16,65,22,12,9,17,14,16
"ENSMUSG00000048578",94,204,186,225,101,171,91,229,116,113
"ENSMUSG00000048581",2,4,2,4,2,1,2,6,4,1
"ENSMUSG00000048583",5,24,23,23,9,11,40,21,11,15
"ENSMUSG00000048592",23,65,18,61,24,23,21,55,41,36
"ENSMUSG00000048602",40,62,41,70,52,34,30,36,31,41
"ENSMUSG00000048612",4,26,20,19,6,27,22,35,22,11
"ENSMUSG00000048616",32,82,95,76,63,56,89,76,54,65
"ENSMUSG00000048617",7,22,21,26,7,9,13,8,5,10
"ENSMUSG00000048644",2708,6810,4984,8352,2357,5267,4152,8577,4208,3792
"ENSMUSG00000048661",381,774,409,743,426,305,340,857,431,476
"ENSMUSG00000048677",29,65,29,50,21,24,17,23,6,17
"ENSMUSG00000048696",30,101,102,131,47,70,99,95,45,80
"ENSMUSG00000048701",29,57,52,54,24,64,37,63,34,32
"ENSMUSG00000048706",54,153,85,129,74,92,84,235,98,91
"ENSMUSG00000048707",13,16,11,13,3,5,10,8,5,4
"ENSMUSG00000048720",202,295,132,339,169,138,143,311,176,214
"ENSMUSG00000048721",97,173,118,204,60,131,93,171,85,87
"ENSMUSG00000048728",2,4,6,9,0,2,7,5,2,1
"ENSMUSG00000048732",430,957,731,876,619,692,496,1050,662,628
"ENSMUSG00000048752",2,2,5,7,5,6,9,13,5,4
"ENSMUSG00000048755",97,265,181,239,93,173,138,276,152,104
"ENSMUSG00000048756",43,107,218,94,69,154,123,120,153,109
"ENSMUSG00000048772",1,5,2,6,5,1,3,9,4,2
"ENSMUSG00000048776",27,66,36,72,34,26,32,59,32,53
"ENSMUSG00000048779",16,49,32,36,14,25,14,26,21,32
"ENSMUSG00000048787",12,21,25,33,24,20,17,37,24,16
"ENSMUSG00000048796",129,223,180,208,109,173,177,289,152,171
